Time,S_Up_var_CST,S_Up_var_Coal,S_Up_var_Wind,S_Up_var_Gas,Status_var_CST,Status_var_Coal,Status_var_Wind,Status_var_Gas,S_Down_var_CST,S_Down_var_Coal,S_Down_var_Wind,S_Down_var_Gas,Pwr_Gen_var_CST,Pwr_Gen_var_Coal,Pwr_Gen_var_Wind,Pwr_Gen_var_Gas,Angle_bus_var_System,unserved_demand_System,Pwr_curtailed_CST,Pwr_curtailed_Wind,Objective_Subhorizon_1,Fixed_Cost_Subhorizon_1,Startup_Cost_Subhorizon_1,Shutdown_Cost_Subhorizon_1,Variable_Cost_Subhorizon_1,Unserved_Demand_Cost_Subhorizon_1,Objective_Subhorizon_2,Fixed_Cost_Subhorizon_2,Startup_Cost_Subhorizon_2,Shutdown_Cost_Subhorizon_2,Variable_Cost_Subhorizon_2,Unserved_Demand_Cost_Subhorizon_2,Objective_Subhorizon_3,Fixed_Cost_Subhorizon_3,Startup_Cost_Subhorizon_3,Shutdown_Cost_Subhorizon_3,Variable_Cost_Subhorizon_3,Unserved_Demand_Cost_Subhorizon_3
16,-0.0,-0.0,-0.0,4.0,-0.0,5.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,0.0,13470.0,4337.632500000001,5751.449521106088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.0,-0.0,-0.0,1.0,-0.0,4.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,0.0,11130.0,4362.765,9876.398598556672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.0,-0.0,-0.0,-0.0,-0.0,3.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,6158.18125,9000.0,6783.66,5569.785834282553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.0,-0.0,-0.0,-0.0,-0.0,3.0,-0.0,2.0,-0.0,-0.0,-0.0,6.0,12309.83125,7414.145917977831,7056.345,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.0,-0.0,-0.0,-0.0,-0.0,3.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,12360.599999999999,7446.113505521029,5904.224999999999,1074.5273387540783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.0,-0.0,-0.0,0.0,-0.0,3.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,12227.175,6816.113505521031,4775.054999999999,2162.352227340327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.0,-0.0,-0.0,-0.0,-0.0,3.0,-0.0,2.0,-0.0,-0.0,-0.0,0.0,12348.5,6186.1135055210725,5310.24,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,3.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0,12276.80625,5733.211305361038,5694.6825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.0,3.0,-0.0,3.0,-0.0,6.0,-0.0,3.0,-0.0,-0.0,-0.0,-0.0,6056.40625,10473.304709142605,4723.387500000001,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.0,1.0,-0.0,2.0,-0.0,7.0,-0.0,5.0,-0.0,-0.0,-0.0,-0.0,0.0,13233.304709142665,4653.6449999999995,3901.166624452012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.0,1.0,-0.0,-0.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,3.0,0.0,15816.733477389927,4018.4400000000005,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,15633.737316651019,3593.385,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,15590.506313060137,3009.15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,16158.280774913805,2726.7524999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.0,-0.0,-0.0,1.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,15762.306988850063,2845.7475,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,16444.627709789827,3039.4417414558457,500.0,0.0,0.0,0.0,385.38075854415456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,18124.627709789827,2808.3975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.0,-0.0,-0.0,2.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,19602.979782169754,1308.24,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.0,-0.0,-0.0,0.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,20030.487793534718,441.03,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,18613.88125763461,843.4425,674.4189522122186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,16933.88125763461,1553.1375,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.0,-0.0,-0.0,0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,16753.38319460474,1189.7324999999998,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.0,-0.0,-0.0,0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,17740.47478924866,681.87,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-0.0,-0.0,-0.0,0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,18810.485051860673,864.0525,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.0,-0.0,-0.0,0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,20398.261446297347,1306.2524999999998,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.0,-0.0,-0.0,0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,21625.58276733452,2781.3374999999996,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.0,-0.0,-0.0,2.0,-0.0,8.0,-0.0,3.0,-0.0,-0.0,-0.0,-0.0,0.0,22640.825297118696,3493.2225000000003,1532.3223815241722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.0,-0.0,-0.0,4.0,-0.0,7.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,0.0,21000.0,1973.0175,5332.322381524173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-0.0,-0.0,-0.0,0.0,-0.0,7.0,-0.0,7.0,-0.0,-0.0,-0.0,-0.0,0.0,18911.817383969294,729.9825,7749.834385313352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-0.0,-0.0,-0.0,1.0,-0.0,7.0,-0.0,8.0,-0.0,-0.0,-0.0,0.0,3541.01875,17441.817383969294,548.9475,4992.950655159759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,1.0,-0.0,7.0,7171.6,15971.817383969294,1369.4325000000001,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,7209.006249999999,13860.378087507654,1734.945,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,7296.125000000001,13363.528676836615,1282.7475,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.0,1.0,-0.0,0.0,-0.0,7.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,7379.58125,12955.91172621143,1179.6750000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3610193870322597e8,161000.0,1.2e6,117000.0,8.99147456978242e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,7391.4625,11973.170213120886,1367.6474999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-0.0,-0.0,-0.0,0.0,-0.0,7.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,7390.88125,11092.088902893496,1393.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-0.0,-0.0,-0.0,0.0,-0.0,7.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7378.075000000001,11112.012510437875,985.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,7384.79375,11457.785568317282,727.8005539460646,0.0,0.0,0.0,0.0,152.72194605393543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-0.0,-0.0,-0.0,7.0,-0.0,7.0,-0.0,7.0,-0.0,-0.0,-0.0,-0.0,3684.0249999999996,12927.785568317282,648.7377218422098,3500.0,0.0,0.0,0.0,111.20727815779026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-0.0,1.0,-0.0,-0.0,-0.0,8.0,-0.0,7.0,-0.0,0.0,-0.0,0.0,0.0,15897.785568317282,900.6825,6497.511458426263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-0.0,0.0,-0.0,-0.0,-0.0,8.0,-0.0,5.0,-0.0,-0.0,-0.0,2.0,0.0,17577.785568317282,996.9075000000001,7485.322738692172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,5.0,-0.0,-0.0,-0.0,-0.0,0.0,19257.785568317282,564.84,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,5.0,-0.0,-0.0,-0.0,0.0,0.0,20937.785568317282,146.22,4988.946737311038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,3.0,-0.0,0.0,-0.0,2.0,0.0,22617.785568317282,63.0075,2303.808978087978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,1.0,0.0,22738.31464344419,38.722500000000004,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,0.0,0.0,21960.82717470209,56.67,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,21954.800614652984,96.6375,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,22664.637387480117,150.57,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
