Time,S_Up_var_CST,S_Up_var_Coal,S_Up_var_Wind,S_Up_var_Gas,Status_var_CST,Status_var_Coal,Status_var_Wind,Status_var_Gas,S_Down_var_CST,S_Down_var_Coal,S_Down_var_Wind,S_Down_var_Gas,Pwr_Gen_var_CST,Pwr_Gen_var_Coal,Pwr_Gen_var_Wind,Pwr_Gen_var_Gas,Angle_bus_var_System,P_chrg_PV Battery,P_dischrg_PV Battery,SOC_PV Battery,U_bin_PV Battery,unserved_demand_System,Pwr_curtailed_CST,Pwr_curtailed_Wind,Objective_Subhorizon_1,Fixed_Cost_Subhorizon_1,Startup_Cost_Subhorizon_1,Shutdown_Cost_Subhorizon_1,Variable_Cost_Subhorizon_1,Unserved_Demand_Cost_Subhorizon_1,Objective_Subhorizon_2,Fixed_Cost_Subhorizon_2,Startup_Cost_Subhorizon_2,Shutdown_Cost_Subhorizon_2,Variable_Cost_Subhorizon_2,Unserved_Demand_Cost_Subhorizon_2,Objective_Subhorizon_3,Fixed_Cost_Subhorizon_3,Startup_Cost_Subhorizon_3,Shutdown_Cost_Subhorizon_3,Variable_Cost_Subhorizon_3,Unserved_Demand_Cost_Subhorizon_3
14,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,15533.727673379912,6186.9,500.0,0.0,0.0,0.0,10000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,16142.88564038603,5952.0675,500.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,17249.999999999993,4337.632500000001,517.6339582460314,0.0,0.0,1453.8155625824495,8289.628749903,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,15569.999999999993,4362.765,500.0,0.0,0.0,4936.398598618387,2482.1009868225437,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,6158.18125,12809.999999999993,6783.66,500.0,0.0,0.0,1259.7858387991619,1000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,12309.83125,10259.999999999993,7056.345,500.0,0.0,2345.854077330605,0.0,2993.975965731014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,12360.599999999999,9000.0,5904.224999999999,500.0,0.0,979.3591557457919,0.0,3826.4312481149373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,12227.175,9000.0,4775.054999999999,500.0,0.0,521.5342671354956,0.0,4269.735375180108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,12348.5,9000.0,5310.24,500.0,0.0,2313.8864949428753,0.0,6236.538895881552,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,12276.80625,9660.812604079689,5694.6825,500.0,0.0,4427.60129896288,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
